Position,Driver Name,Nationality,Car,Points
1,Max,NED,Red Bull Racing Honda RBPT,331
2,Lando,GBR,McLaren Mercedes,279
3,Charles,MON,Ferrari,245
4,Oscar,AUS,McLaren Mercedes,237
5,Carlos,ESP,Ferrari,190
6,Lewis,GBR,Mercedes,174
7,George,GBR,Mercedes,155
8,Sergio,MEX,Red Bull Racing Honda RBPT,144
9,Fernando,ESP,Aston Martin Aramco Mercedes,62
10,Nico,GER,Haas Ferrari,24
11,Lance,CAN,Aston Martin Aramco Mercedes,24
12,Yuki,JPN,RB Honda RBPT,22
13,Alexander,THA,Williams Mercedes,12
14,Daniel,AUS,RB Honda RBPT,12
15,Pierre,FRA,Alpine Renault,8
16,Oliver,GBR,Haas Ferrari,7
17,Kevin,DEN,Haas Ferrari,6
18,Esteban,FRA,Alpine Renault,5
19,Franco,ARG,Williams Mercedes,4
20,Zhou,CHN,Kick Sauber Ferrari,0
21,Logan,USA,Williams Mercedes,0
22,Valtteri,FIN,Kick Sauber Ferrari,0
